,Unnamed: 0,E,depol_prob,lam,p0_0,p0_1,p1_0,p1_1,phi,t1,t2,theta,population
91,91,0.0,0.00025,4.712388980384691,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
92,92,0.0,0.0005,4.712388980384691,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
93,93,0.0,0.00075,4.712388980384691,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
94,94,0.0,0.001,4.712388980384691,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
95,95,0.0,0.0,6.283185307179585,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
96,96,0.0,0.00025,6.283185307179585,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
97,97,0.0,0.0005,6.283185307179585,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
98,98,0.0,0.00075,6.283185307179585,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
99,99,0.0,0.001,6.283185307179585,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
100,100,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
101,101,0.0,0.00025,0.0,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
102,102,0.0,0.0005,0.0,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
103,103,0.0,0.00075,0.0,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
104,104,0.0,0.001,0.0,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
105,105,0.0,0.0,1.5707963267948966,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
106,106,0.0,0.00025,1.5707963267948966,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
107,107,0.0,0.0005,1.5707963267948966,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
108,108,0.0,0.00075,1.5707963267948966,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
109,109,0.0,0.001,1.5707963267948966,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
110,110,0.0,0.0,3.1415926535897927,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
111,111,0.0,0.00025,3.1415926535897927,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
112,112,0.0,0.0005,3.1415926535897927,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
113,113,0.0,0.00075,3.1415926535897927,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
114,114,0.0,0.001,3.1415926535897927,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
115,115,0.0,0.0,4.712388980384691,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
116,116,0.0,0.00025,4.712388980384691,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
117,117,0.0,0.0005,4.712388980384691,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
118,118,0.0,0.00075,4.712388980384691,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
119,119,0.0,0.001,4.712388980384691,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
120,120,0.0,0.0,6.283185307179585,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
121,121,0.0,0.00025,6.283185307179585,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
122,122,0.0,0.0005,6.283185307179585,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
123,123,0.0,0.00075,6.283185307179585,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
124,124,0.0,0.001,6.283185307179585,1.0,0.0,0.0,1.0,6.283185307179585,inf,inf,0.0,0
125,125,0.505859375,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
126,126,0.4990234375,0.00025,0.0,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
127,127,0.4677734375,0.0005,0.0,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
128,128,0.505859375,0.00075,0.0,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
129,129,0.5068359375,0.001,0.0,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
130,130,0.4814453125,0.0,1.5707963267948966,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
131,131,0.501953125,0.00025,1.5707963267948966,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
132,132,0.4951171875,0.0005,1.5707963267948966,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
133,133,0.4970703125,0.00075,1.5707963267948966,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
134,134,0.501953125,0.001,1.5707963267948966,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
135,135,0.4892578125,0.0,3.1415926535897927,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
136,136,0.5146484375,0.00025,3.1415926535897927,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
137,137,0.466796875,0.0005,3.1415926535897927,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
138,138,0.517578125,0.00075,3.1415926535897927,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
139,139,0.501953125,0.001,3.1415926535897927,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
140,140,0.5068359375,0.0,4.712388980384691,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
141,141,0.4736328125,0.00025,4.712388980384691,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
142,142,0.517578125,0.0005,4.712388980384691,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
143,143,0.4912109375,0.00075,4.712388980384691,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
144,144,0.5205078125,0.001,4.712388980384691,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
145,145,0.5205078125,0.0,6.283185307179585,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
146,146,0.533203125,0.00025,6.283185307179585,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
147,147,0.484375,0.0005,6.283185307179585,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
148,148,0.4892578125,0.00075,6.283185307179585,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
149,149,0.5341796875,0.001,6.283185307179585,1.0,0.0,0.0,1.0,0.0,inf,inf,1.5707963267948966,0
150,150,0.5107421875,0.0,0.0,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
151,151,0.478515625,0.00025,0.0,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
152,152,0.484375,0.0005,0.0,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
153,153,0.4814453125,0.00075,0.0,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
154,154,0.49609375,0.001,0.0,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
155,155,0.498046875,0.0,1.5707963267948966,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
156,156,0.4990234375,0.00025,1.5707963267948966,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
157,157,0.48046875,0.0005,1.5707963267948966,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
158,158,0.505859375,0.00075,1.5707963267948966,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
159,159,0.4814453125,0.001,1.5707963267948966,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
160,160,0.498046875,0.0,3.1415926535897927,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
161,161,0.49609375,0.00025,3.1415926535897927,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
162,162,0.4638671875,0.0005,3.1415926535897927,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
163,163,0.4931640625,0.00075,3.1415926535897927,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
164,164,0.4755859375,0.001,3.1415926535897927,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
165,165,0.5,0.0,4.712388980384691,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
166,166,0.501953125,0.00025,4.712388980384691,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
167,167,0.51953125,0.0005,4.712388980384691,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
168,168,0.5087890625,0.00075,4.712388980384691,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
169,169,0.4912109375,0.001,4.712388980384691,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
170,170,0.482421875,0.0,6.283185307179585,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
171,171,0.5009765625,0.00025,6.283185307179585,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
172,172,0.509765625,0.0005,6.283185307179585,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
173,173,0.490234375,0.00075,6.283185307179585,1.0,0.0,0.0,1.0,1.5707963267948966,inf,inf,1.5707963267948966,0
