,theta,phi,lam,p0_0,p1_0,p0_1,p1_1,depol_prob,t1,t2,population,E
120,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.0,190000.0,33928.57142857143,0.0,0.0
121,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.001,190000.0,33928.57142857143,0.0,0.0
122,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.0,190000.0,33928.57142857143,1.0,0.0
123,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.001,190000.0,33928.57142857143,1.0,0.0
124,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.0,190000.0,292307.6923076923,0.0,0.0
125,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.001,190000.0,292307.6923076923,0.0,0.0
126,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.0,190000.0,292307.6923076923,1.0,0.0
127,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.001,190000.0,292307.6923076923,1.0,0.0
128,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,6071.428571428572,0.0,0.05810546875
129,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,6071.428571428572,0.0,0.061767578125
130,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,6071.428571428572,1.0,0.060546875
131,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,6071.428571428572,1.0,0.056884765625
132,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,52307.692307692305,0.0,0.0634765625
133,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,52307.692307692305,0.0,0.059326171875
134,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,52307.692307692305,1.0,0.060546875
135,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,52307.692307692305,1.0,0.053466796875
136,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,190000.0,33928.57142857143,0.0,0.05810546875
137,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,190000.0,33928.57142857143,0.0,0.064208984375
