backend,qubit,datetime,name,units,value,log_datetime
ibmq_16_melbourne,2,2020-10-11T09:53:48+00:00,id_length,ns,53.33333333333333,2020-10-12T10:43:28.999536
ibmq_16_melbourne,3,2020-10-11T04:30:01+00:00,T1,us,66.50482242106806,2020-10-12T10:43:28.999536
ibmq_16_melbourne,3,2020-10-11T04:32:25+00:00,T2,us,17.048336600522372,2020-10-12T10:43:28.999536
ibmq_16_melbourne,3,2020-10-11T09:53:48+00:00,frequency,GHz,4.894578381007527,2020-10-12T10:43:28.999536
ibmq_16_melbourne,3,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,3,2020-10-11T04:29:24+00:00,readout_error,,0.08699999999999997,2020-10-12T10:43:28.999536
ibmq_16_melbourne,3,2020-10-11T04:29:24+00:00,prob_meas0_prep1,,0.111,2020-10-12T10:43:28.999536
ibmq_16_melbourne,3,2020-10-11T04:29:24+00:00,prob_meas1_prep0,,0.06299999999999994,2020-10-12T10:43:28.999536
ibmq_16_melbourne,3,2020-10-11T09:53:48+00:00,id_length,ns,53.33333333333333,2020-10-12T10:43:28.999536
ibmq_16_melbourne,4,2020-10-11T04:30:01+00:00,T1,us,61.18789133496457,2020-10-12T10:43:28.999536
ibmq_16_melbourne,4,2020-10-11T04:31:20+00:00,T2,us,76.13691741399835,2020-10-12T10:43:28.999536
ibmq_16_melbourne,4,2020-10-11T09:53:48+00:00,frequency,GHz,5.021588222842932,2020-10-12T10:43:28.999536
ibmq_16_melbourne,4,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,4,2020-10-10T04:25:56+00:00,readout_error,,0.10089999999999999,2020-10-12T10:43:28.999536
ibmq_16_melbourne,4,2020-10-10T04:25:56+00:00,prob_meas0_prep1,,0.1398,2020-10-12T10:43:28.999536
ibmq_16_melbourne,4,2020-10-10T04:25:56+00:00,prob_meas1_prep0,,0.062000000000000055,2020-10-12T10:43:28.999536
ibmq_16_melbourne,4,2020-10-11T09:53:48+00:00,id_length,ns,53.33333333333333,2020-10-12T10:43:28.999536
ibmq_16_melbourne,5,2020-10-11T04:30:01+00:00,T1,us,20.588615035945743,2020-10-12T10:43:28.999536
ibmq_16_melbourne,5,2020-10-11T04:32:25+00:00,T2,us,33.083250955794156,2020-10-12T10:43:28.999536
ibmq_16_melbourne,5,2020-10-11T09:53:48+00:00,frequency,GHz,5.073075899314121,2020-10-12T10:43:28.999536
ibmq_16_melbourne,5,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,5,2020-10-11T04:29:24+00:00,readout_error,,0.05279999999999996,2020-10-12T10:43:28.999536
ibmq_16_melbourne,5,2020-10-11T04:29:24+00:00,prob_meas0_prep1,,0.0822,2020-10-12T10:43:28.999536
ibmq_16_melbourne,5,2020-10-11T04:29:24+00:00,prob_meas1_prep0,,0.023399999999999976,2020-10-12T10:43:28.999536
ibmq_16_melbourne,5,2020-10-11T09:53:48+00:00,id_length,ns,142.22222222222223,2020-10-12T10:43:28.999536
ibmq_16_melbourne,6,2020-10-11T04:30:01+00:00,T1,us,65.0024930489255,2020-10-12T10:43:28.999536
ibmq_16_melbourne,6,2020-10-11T04:31:20+00:00,T2,us,78.19715197712544,2020-10-12T10:43:28.999536
ibmq_16_melbourne,6,2020-10-11T09:53:48+00:00,frequency,GHz,4.929433989000717,2020-10-12T10:43:28.999536
ibmq_16_melbourne,6,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,6,2020-10-11T04:29:24+00:00,readout_error,,0.07879999999999998,2020-10-12T10:43:28.999536
ibmq_16_melbourne,6,2020-10-11T04:29:24+00:00,prob_meas0_prep1,,0.10060000000000002,2020-10-12T10:43:28.999536
ibmq_16_melbourne,6,2020-10-11T04:29:24+00:00,prob_meas1_prep0,,0.057,2020-10-12T10:43:28.999536
